[ Info | T_1 = 1000.0 K
[ Info | Succeed Steps: 1232271 / 1505000
[ Info | Current Energy Decay: -0.223 J1/cell
[ Info | Current Total Energy: -0.223 J1/cell
[ Info | Current Average State: [0.001, -0.002, 0.006]
[ Info | Time Cost: 42.1 s
[ Info | 
[ Info | T_2 = 995.0 K
[ Info | Succeed Steps: 1228409 / 1505000
[ Info | Current Energy Decay: -0.006 J1/cell
[ Info | Current Total Energy: -0.23 J1/cell
[ Info | Current Average State: [-0.004, -0.002, -0.002]
[ Info | Time Cost: 35.61 s
[ Info | 
[ Info | T_3 = 990.0 K
[ Info | Succeed Steps: 1228019 / 1505000
[ Info | Current Energy Decay: -0.005 J1/cell
[ Info | Current Total Energy: -0.232 J1/cell
[ Info | Current Average State: [-0.002, -0.003, -0.0]
[ Info | Time Cost: 35.92 s
[ Info | 
[ Info | T_4 = 985.0 K
[ Info | Succeed Steps: 1225612 / 1505000
[ Info | Current Energy Decay: -0.003 J1/cell
[ Info | Current Total Energy: -0.233 J1/cell
[ Info | Current Average State: [0.001, -0.001, 0.001]
[ Info | Time Cost: 35.97 s
[ Info | 
[ Info | T_5 = 980.0 K
[ Info | Succeed Steps: 1225615 / 1505000
[ Info | Current Energy Decay: -0.005 J1/cell
[ Info | Current Total Energy: -0.232 J1/cell
[ Info | Current Average State: [-0.002, -0.001, 0.004]
[ Info | Time Cost: 35.64 s
[ Info | 
[ Info | T_6 = 975.0 K
[ Info | Succeed Steps: 1224055 / 1505000
[ Info | Current Energy Decay: -0.002 J1/cell
[ Info | Current Total Energy: -0.233 J1/cell
[ Info | Current Average State: [-0.001, -0.002, 0.001]
[ Info | Time Cost: 36.01 s
[ Info | 
[ Info | T_7 = 970.0 K
[ Info | Succeed Steps: 1222000 / 1505000
[ Info | Current Energy Decay: -0.006 J1/cell
[ Info | Current Total Energy: -0.236 J1/cell
[ Info | Current Average State: [0.002, 0.002, -0.002]
[ Info | Time Cost: 36.58 s
[ Info | 
[ Info | T_8 = 965.0 K
[ Info | Succeed Steps: 1221012 / 1505000
[ Info | Current Energy Decay: -0.002 J1/cell
[ Info | Current Total Energy: -0.237 J1/cell
[ Info | Current Average State: [0.001, -0.002, 0.0]
[ Info | Time Cost: 36.02 s
[ Info | 
[ Info | T_9 = 960.0 K
[ Info | Succeed Steps: 1219020 / 1505000
[ Info | Current Energy Decay: 0.004 J1/cell
[ Info | Current Total Energy: -0.239 J1/cell
[ Info | Current Average State: [0.002, 0.002, 0.004]
[ Info | Time Cost: 35.46 s
[ Info | 
[ Info | T_10 = 955.0 K
[ Info | Succeed Steps: 1217881 / 1505000
[ Info | Current Energy Decay: -0.002 J1/cell
[ Info | Current Total Energy: -0.239 J1/cell
[ Info | Current Average State: [0.002, -0.001, 0.002]
[ Info | Time Cost: 35.34 s
[ Info | 
[ Info | T_11 = 950.0 K
[ Info | Succeed Steps: 1215585 / 1505000
[ Info | Current Energy Decay: 0.0 J1/cell
[ Info | Current Total Energy: -0.242 J1/cell
[ Info | Current Average State: [0.005, 0.002, 0.0]
[ Info | Time Cost: 35.83 s
[ Info | 
[ Info | T_12 = 945.0 K
[ Info | Succeed Steps: 1214366 / 1505000
[ Info | Current Energy Decay: 0.001 J1/cell
[ Info | Current Total Energy: -0.244 J1/cell
[ Info | Current Average State: [0.0, -0.0, 0.002]
[ Info | Time Cost: 36.08 s
[ Info | 
[ Info | T_13 = 940.0 K
[ Info | Succeed Steps: 1212327 / 1505000
[ Info | Current Energy Decay: 0.001 J1/cell
[ Info | Current Total Energy: -0.246 J1/cell
[ Info | Current Average State: [-0.001, 0.002, 0.002]
[ Info | Time Cost: 36.14 s
[ Info | 
[ Info | T_14 = 935.0 K
